"id","author","description","guid","to","likecount","link","pubdate","replycount","title","authorChannelUrl"
"35","@Engineer0123","Coba dipakai pas hujan deras bang","UgyHzw0RF5ofaClaxnV4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgyHzw0RF5ofaClaxnV4AaABAg","5/28/2024 16:56","0","Coba dipakai pas hujan deras bang","http://www.youtube.com/@Engineer0123"
"36","@fundtrade","Kalau aku beli ini, trus pake di kapal ketika lagi liburan, bisa di pakai di tengah laut ga bang ? Atau paketnya beda lagi ?","UgwEiBH-jpa7PaStOEZ4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgwEiBH-jpa7PaStOEZ4AaABAg","5/28/2024 16:01","0","Kalau aku beli ini, trus pake di kapal ketika lagi liburan, bisa di pakai di tengah laut ga bang ? Atau paketnya beda lagi ?","http://www.youtube.com/@fundtrade"
"37","@RitsUniverse","Kalau kena hujan atau panas berlebih, apakah masih oke ? Atau harus di cover yaa","Ugx5Fdy6d_Gg24_Fdo14AaABAg","","1","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugx5Fdy6d_Gg24_Fdo14AaABAg","5/28/2024 15:49","0","Kalau kena hujan atau panas berlebih, apakah masih oke ? Atau harus di cover yaa","http://www.youtube.com/@RitsUniverse"
"38","@raharjowaluyo1242","Kita ingin maju walau kita tdk suka politik US ,klo saya iya tidak suka pengaruh politik tp saya suka teknologinya amerika ,kemajuan media sosial bisa kita tdk bisa menjauh walau itu punya sono barat ,kita jga makai tdk mungkin kita jauhi tetap kita pakai terus Youtube, google,Map GPS, Whatsapp,Tellegram ,Facebook ..Chat massager,X/Twitter,IG,Yahoo,Gmail,Chrome,Playstore Browser,Opera ,Apple ios, Android,AI dll,Kable Fiber optik,Satelit Komunikasi Internet ,semua teknologi dari barat Kita tdk suka politiknya tapi suka teknologi yg kita pakai setiap hari tdk ad kata speoniss semua terbuka..mau bilang ap? Biar Starlink masuk untuk memastikan kinerja telkom bisa memperbaiki diri.. konsumen bisa pilih kita sih bebas tidak pandang produk Amerika dan China kita pakai semua selagi itu sangat bermanfaat kita ttap pakai.. Salam cinta teknologi dan kemajuan peradapan zaman..","UgyCs0VjIMJhCrOIjdl4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgyCs0VjIMJhCrOIjdl4AaABAg","5/28/2024 15:34","0","Kita ingin maju walau kita tdk suka politik US ,klo saya iya tidak suka pengaruh politik tp saya suka teknologinya amerika ,kemajuan media sosial bisa kita tdk bisa menjauh walau itu punya sono barat ,kita jga makai tdk mungkin kita jauhi tetap kita pakai terus Youtube, google,Map GPS, Whatsapp,Tellegram ,Facebook ..Chat massager,X/Twitter,IG,Yahoo,Gmail,Chrome,Playstore Browser,Opera ,Apple ios, Android,AI dll,Kable Fiber optik,Satelit Komunikasi Internet ,semua teknologi dari barat Kita tdk suka politiknya tapi suka teknologi yg kita pakai setiap hari tdk ad kata speoniss semua terbuka..mau bilang ap? Biar Starlink masuk untuk memastikan kinerja telkom bisa memperbaiki diri.. konsumen bisa pilih kita sih bebas tidak pandang produk Amerika dan China kita pakai semua selagi itu sangat bermanfaat kita ttap pakai.. Salam cinta teknologi dan kemajuan peradapan zaman..","http://www.youtube.com/@raharjowaluyo1242"
"39","@j.free7351","bahaya akan petir apa nggak om?","Ugx2V8QWO5i2159vL0p4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugx2V8QWO5i2159vL0p4AaABAg","5/28/2024 15:29","0","bahaya akan petir apa nggak om?","http://www.youtube.com/@j.free7351"
"40","@cahayaseni917","Kena air aman kah itu?","Ugxw8l-Kd7FnU_iFOIZ4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugxw8l-Kd7FnU_iFOIZ4AaABAg","5/28/2024 15:12","0","Kena air aman kah itu?","http://www.youtube.com/@cahayaseni917"
"41","@soemarnoremixs5978","FREE PALESTINE ðŸ‡µðŸ‡¸","Ugx-93Bskf_aSRGHsm14AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugx-93Bskf_aSRGHsm14AaABAg","5/28/2024 15:09","0","FREE PALESTINE ðŸ‡µðŸ‡¸","http://www.youtube.com/@soemarnoremixs5978"
"42","@noblesseobelige9192","Maksimal bisa pake utk brp divice ya ?","Ugys0RmzIJRPmx3XOiV4AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=Ugys0RmzIJRPmx3XOiV4AaABAg","5/28/2024 14:52","0","Maksimal bisa pake utk brp divice ya ?","http://www.youtube.com/@noblesseobelige9192"
"43","@banxbara1","Insya besok mbok yem mesti beli ini ðŸ‘","UgxFzu2zz2AxnobeSvp4AaABAg","","1","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgxFzu2zz2AxnobeSvp4AaABAg","5/28/2024 14:07","0","Insya besok mbok yem mesti beli ini ðŸ‘","http://www.youtube.com/@banxbara1"
"44","@yohimbe2673","Ga sesuai kebutuhan","UgxEvhBe1teX0jX5OI94AaABAg","","0","https://www.youtube.com/watch?v=BHkTABfl9fc&lc=UgxEvhBe1teX0jX5OI94AaABAg","5/28/2024 13:58","0","Ga sesuai kebutuhan","http://www.youtube.com/@yohimbe2673"
